control,value,value2,value3,date,,
email_macro_allowed_contents,lc520@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc407@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc22@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc113@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc417@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc188@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc88@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc597@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc514@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc314@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc180@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc11@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc391@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc393@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc183@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc135@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc493@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc436@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc304@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc260@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc591@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc467@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc327@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc129@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc395@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc508@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
email_macro_allowed_contents,lc521@essential8.gov.au,apt@baddomain.com,importantinfo.doc,04/04/2017 00:00:00,,
user_app_hardening_flash_blocked,58,.,.,29/03/2017 00:00:00,,
user_app_hardening_flash_blocked,54,.,.,30/03/2017 00:00:00,,
user_app_hardening_flash_blocked,52,.,.,31/03/2017 00:00:00,,
user_app_hardening_flash_blocked,55,.,.,01/04/2017 00:00:00,,
user_app_hardening_flash_blocked,60,.,.,02/04/2017 00:00:00,,
user_app_hardening_flash_blocked,59,.,.,03/04/2017 00:00:00,,
user_app_hardening_flash_blocked,59,.,.,04/04/2017 00:00:00,,
user_app_hardening_flash_allowed,14,.,.,29/03/2017 00:00:00,,
user_app_hardening_flash_allowed,22,.,.,30/03/2017 00:00:00,,
user_app_hardening_flash_allowed,51,.,.,31/03/2017 00:00:00,,
user_app_hardening_flash_allowed,229,.,.,01/04/2017 00:00:00,,
user_app_hardening_flash_allowed,12,.,.,02/04/2017 00:00:00,,
user_app_hardening_flash_allowed,51,.,.,03/04/2017 00:00:00,,
user_app_hardening_flash_allowed,99,.,.,04/04/2017 00:00:00,,
